"start_station_name","ride_count","rider_type"
"Western Ave & Roscoe St","1762","member"
"Clinton St & Tilden St","1756","casual"
"Elston Ave & Wabansia Ave","1755","member"
"May St & Cullerton St","1754","member"
"Campbell Ave & Augusta Blvd","1749","member"
"Western Ave & Fillmore St","1748","member"
"Peoria St & Kinzie St","1745","member"
"LaSalle St & Adams St","1744","casual"
"Ashland Ave & Lake St","1744","casual"
"Wood St & Webster Ave","1741","member"
"State St & 19th St","1737","member"
"Lincoln Ave & Sunnyside Ave","1736","casual"
"Spaulding Ave & Armitage Ave","1732","casual"
"Western Ave & Division St","1724","casual"
"Ashland Ave & Grace St","1718","casual"
"Morgan St & 18th St","1716","casual"
"Milwaukee Ave & Fullerton Ave","1712","casual"
"Winchester Ave & Elston Ave","1706","member"
"Ashland Ave & Wellington Ave","1698","casual"
"Clark St & Columbia Ave","1697","member"
"Larrabee St & Oak St","1693","casual"
"Fort Dearborn Dr & 31st St*","1689","member"
"Clark St & Elmdale Ave","1686","member"
"Clark St & 9th St (AMLI)","1682","casual"
"Aberdeen St & Carroll Ave","1680","casual"
"Francisco Ave & Foster Ave","1673","member"
"Ashland Ave & Chicago Ave","1673","casual"
"Ashland Ave & Grand Ave","1668","casual"
"Damen Ave & Wicker Park Ave","1660","casual"
"Paulina St & Flournoy St","1654","casual"
"Laflin St & Cullerton St","1652","member"
"Ashland Ave & Wrightwood Ave","1652","casual"
"Damen Ave & Lake St","1649","casual"
"Milwaukee Ave & Rockwell St","1647","casual"
"Halsted St & Roosevelt Rd","1643","casual"
"Ashland Ave & Belle Plaine Ave","1641","member"
"Wells St & Washington St","1638","member"
"California Ave & Fletcher St","1626","member"
"Leavitt St & Armitage Ave","1618","casual"
"Wood St & Chicago Ave","1615","casual"
"Richmond St & Diversey Ave","1611","member"
"Oakley Ave & Irving Park Rd","1606","member"
"Avers Ave & Belmont Ave","1601","member"
"Lincoln Ave & Winona St","1594","member"
"Southport Ave & Clybourn Ave","1587","casual"
"Damen Ave & Wellington Ave","1586","casual"
"Damen Ave & Madison St","1577","member"
"Chicago Ave & Washington St","1573","member"
"Wabash Ave & Cermak Rd","1554","member"
"Halsted St & Archer Ave","1553","member"
"Wood St & Augusta Blvd","1539","casual"
"California Ave & Byron St","1537","member"
"Indiana Ave & 26th St","1534","member"
"Ellis Ave & 53rd St","1531","casual"
"Sheridan Rd & Lawrence Ave","1524","casual"
"Lincoln Ave & Belle Plaine Ave","1522","casual"
"Malcolm X College","1521","member"
"Halsted St & 18th St","1506","casual"
"Leavitt St & North Ave","1504","casual"
"California Ave & Francis Pl","1504","casual"
"Damen Ave & Grand Ave","1504","casual"
"Campbell Ave & North Ave","1501","casual"
"Throop St & Taylor St","1495","casual"
"Seeley Ave & Roscoe St","1492","casual"
"Wilton Ave & Diversey Pkwy*","1490","casual"
"Orleans St & Elm St","1490","casual"
"Wabash Ave & Cermak Rd","1487","casual"
"Troy St & Elston Ave","1486","member"
"Broadway & Oakdale Ave","1480","casual"
"LaSalle St & Jackson Blvd Corral","1478","member"
"LaSalle St & Calhoun Pl ","1474","member"
"Halsted St & 21st St","1469","member"
"Paulina St & 18th St","1466","casual"
"Blue Island Ave & 18th St","1461","casual"
"Ashland Ave & Augusta Blvd","1459","casual"
"Milwaukee Ave & Wabansia Ave","1457","member"
"Albany Ave & Bloomingdale Ave","1456","casual"
"Leavitt St & Chicago Ave","1455","casual"
"Broadway & Ridge Ave","1453","casual"
"Cherry Ave & Blackhawk St","1450","member"
"MLK Jr Dr & 29th St","1446","casual"
"Claremont Ave & Hirsch St","1445","member"
"Noble St & Ohio St","1444","member"
"Kimball Ave & Belmont Ave","1440","casual"
"Franklin St & Adams St Corral","1437","member"
"Hampden Ct & Diversey Ave","1436","member"
"Western Ave & Leland Ave","1430","casual"
"Artesian Ave & Hubbard St","1430","casual"
"Leavitt St & Addison St","1429","member"
"Sedgwick St & Schiller St","1429","casual"
"Damen Ave & Cullerton St","1428","member"
"Hampden Ct & Diversey Pkwy","1420","casual"
"Leavitt St & Belmont Ave","1416","casual"
"Lincoln Ave & Byron St","1405","casual"
"California Ave & North Ave","1403","casual"
"Kedzie Ave & Palmer Ct","1401","casual"
"Monticello Ave & Irving Park Rd","1393","member"
"N Green St & W Lake St","1390","casual"
"Sheridan Rd & Loyola Ave","1390","casual"
"Ellis Ave & 58th St","1380","casual"
"Leavitt St/North Ave","1374","member"
"Green St & Lake St ","1373","casual"
"Stave St & Armitage Ave","1371","casual"
"Southport Ave & Clark St","1371","casual"
"Franklin St & Adams St (Temp)","1366","member"
"Ravenswood Ave & Irving Park Rd","1363","casual"
"University Ave & 59th St","1360","casual"
"Wells St & Madison St","1351","member"
"Clark St & Arlington Pl","1347","casual"
"Sheridan Rd & Greenleaf Ave","1341","member"
"Hoyne Ave & Balmoral Ave","1339","member"
"Albany Ave & Montrose Ave","1336","member"
"Clybourn Ave & Division St","1327","casual"
"Larrabee St & Kingsbury St 1","1327","member"
"Halsted St & 35th St","1324","member"
"Campbell Ave & Fullerton Ave","1322","member"
"Greenwood Ave & 47th St","1318","member"
"Kosciuszko Park","1316","member"
"Leavitt St & Division St","1308","casual"
"Larrabee St & Menomonee St","1303","casual"
"Hudson Ave & Armitage Ave","1300","member"
"Lake Park Ave & 35th St","1298","member"
"Wolcott Ave & Polk St","1297","casual"
"California Ave & Division St","1281","casual"
"Loomis St & Jackson Blvd","1276","casual"
"Lincoln Ave & Dickens Ave","1275","member"
"Smith Park","1272","member"
"University Library (NU)","1271","member"
"W Armitage Ave & N Sheffield Ave","1271","casual"
"Winchester (Ravenswood) Ave & Balmoral Ave","1269","member"
"Racine Ave & Washington Blvd","1267","casual"
"Clark St & Lunt Ave","1267","casual"
"Ogden Ave & Roosevelt Rd","1264","member"
"Emerald Ave & 28th St","1260","member"
"N Southport Ave & W Newport Ave","1255","member"
"Indiana Ave & 31st St","1249","member"
"Racine Ave & Randolph St","1247","casual"
"Paulina St & Montrose Ave","1241","casual"
"Logan Blvd & Elston Ave","1233","casual"
"Paulina St & Division St","1230","member"
"Blackstone Ave & Hyde Park Blvd","1227","casual"
"Paulina St & Howard St","1222","member"
"Clark St & Eddy St ","1222","member"
"Lake Park Ave & 47th St","1220","member"
"Damen Ave & Madison St","1219","casual"
"Lincoln Ave & Addison St","1217","casual"
"Green St & Chicago Ave","1209","member"
"California Ave & Fletcher St","1204","casual"
"Chicago Ave & Washington St","1200","casual"
"Shields Ave & 28th Pl","1199","member"
"Franklin St & Washington St","1198","casual"
"Central Park Ave & Bloomingdale Ave","1197","member"
"Damen Ave & Melrose Ave","1190","casual"
"Racine Ave & Congress Pkwy","1189","casual"
"Drake Ave & Addison St","1187","member"
"Milwaukee Ave & Ainslie St","1185","member"
"Wells St & 19th St","1183","casual"
"Spaulding Ave & Division St","1182","member"
"Lincoln Ave & Waveland Ave","1180","casual"
"Wentworth Ave & 33rd St","1174","member"
"Damen Ave & Sunnyside Ave","1169","casual"
"Leavitt St & Lawrence Ave","1160","casual"
"Kedzie Ave & Leland Ave","1157","member"
"Halsted St & Belden St","1150","member"
"Halsted St & Armitage Ave","1146","member"
"Greenview Ave & Jarvis Ave","1137","casual"
"Western Ave & Congress Pkwy","1126","member"
"Glenwood Ave & Morse Ave","1123","casual"
"Damen Ave & Clybourn Ave","1119","casual"
"State St & 33rd St","1115","casual"
"Troy St & North Ave","1113","member"
"Sangamon St & Adams St","1112","member"
"University Library (NU)","1109","casual"
"Western Ave & Lunt Ave","1109","member"
"Christiana Ave & Lawrence Ave","1108","member"
"W Washington Blvd & N Peoria St","1107","member"
"Wentworth Ave & 35th St","1106","member"
"Francisco Ave & Chicago Ave","1099","member"
"Fulton Market","1093","casual"
"Leavitt St & Addison St","1092","casual"
"Richmond St & Diversey Ave","1084","casual"
"Morgan Ave & 14th Pl","1072","casual"
"Morgan St & Hubbard St","1070","member"
"Wabash Ave & Washington St","1068","casual"
"Halsted St & Archer Ave","1068","casual"
"Talman Ave & Addison St","1067","casual"
"Wells St & Randolph St Corral","1066","member"
"Drexel Ave & 60th St","1051","casual"
"St. Louis Ave & Fullerton Ave","1046","casual"
"Fort Dearborn Dr & 31st St","1040","casual"
"Morgan St & 31st St","1038","casual"
"Central Park Ave & Elbridge Ave","1035","casual"
"Glenwood Ave & Touhy Ave","1034","member"
"Lake Park Ave & 35th St","1020","casual"
"Lincoln Ave & Montana St","1007","member"
"Streeter Dr/Grand Ave","1005","member"
"California Ave & Altgeld St","1003","casual"
"Clinton St & 18th St","1001","casual"
"Clark St & Schreiber Ave","1001","casual"
"Eastlake Ter & Howard St","999","member"
"Manor Ave & Leland Ave","993","member"
"Peterson/Ridge Metra","993","casual"
"Ravenswood Ave & Berteau Ave","989","casual"
"Sawyer Ave & Irving Park Rd","987","member"
"Rockwell St & Fletcher St","985","member"
"Wood St & Hubbard St","984","casual"
"N Paulina St & Lincoln Ave","983","member"
"Western Ave & Granville Ave","981","member"
"Ashland Ave & Belle Plaine Ave","980","casual"
"Campbell Ave & Fullerton Ave","970","casual"
"Hermitage Ave & Polk St","968","casual"
"State St & 19th St","961","casual"
"Laflin St & Cullerton St","956","casual"
"Canal St & Harrison St","956","casual"
"California Ave & Montrose Ave","955","casual"
"Elston Ave & Wabansia Ave","949","casual"
"Elston Ave & George St","944","member"
"St Clair St & Ohio St","943","member"
"Racine Ave & 15th St","940","casual"
"Dorchester Ave & 49th St","938","member"
"Halsted St & 35th St","938","casual"
"Kosciuszko Park","935","casual"
"Damen Ave & Wabansia Ave","925","casual"
"Winchester Ave & Elston Ave","924","casual"
"California Ave & Granville Ave","923","member"
"Wacker Dr & Randolph St","916","member"
"Avers Ave & Belmont Ave","913","casual"
"Wabansia & Milwaukee","913","member"
"Damen Ave & Cullerton St","913","casual"
"Wentworth Ave & 35th St","911","casual"
"Indiana Ave & 26th St","904","casual"
"Clark St & Jarvis Ave","901","member"
"Western Ave & Berteau Ave","898","member"
"Wentworth Ave & 24th St","894","casual"
"Clark St & Elmdale Ave","892","casual"
"Calumet Ave & 35th St","888","member"
"Avondale Ave & Irving Park Rd","881","casual"
"Central Park Ave & Bloomingdale Ave","879","casual"
"Ogden Ave & Congress Pkwy","878","casual"
"Dearborn St & Division St","875","casual"
"Emerald Ave & 31st St","872","casual"
"Sheridan Rd & Columbia Ave","871","casual"
"Dearborn St & Maple St","866","casual"
"Evanston Civic Center","864","casual"
"Campbell Ave & Montrose Ave","864","casual"
"Clark St & Eddy St ","859","casual"
"Dearborn St & Adams St Corral","859","member"
"Kedzie Ave & George St","857","member"
"Racine Ave & Broadway","854","member"
"Paulina St & Howard St","853","casual"
"Halsted St & North Branch St","853","member"
"Wood St & Taylor St (Temp)","852","casual"
"Wells St & Washington St","851","casual"
"The Salt Shed","850","member"
"Western Ave & Grace St","849","member"
"Halsted St & 21st St","849","casual"
"Western Ave & Roscoe St","847","casual"
"Racine Ave & 13th St","839","member"
"63rd St Beach","822","casual"
"Wood St & Beach Ave","816","casual"
"Calumet Ave & 33rd St","813","casual"
"Keystone Ave & Fullerton Ave","811","member"
"Wallace St & 35th St","809","member"
"The Salt Shed","807","casual"
"Carpenter St & Fulton St","805","member"
"Troy St & North Ave","803","casual"
"N Southport Ave & W Newport Ave","797","casual"
"Campbell Ave & Augusta Blvd","793","casual"
"Larrabee St & Clybourn Ave","793","member"
"Monticello Ave & Lawrence Ave","792","member"
"Hoyne Ave & Balmoral Ave","791","casual"
"Drake Ave & Montrose Ave","790","member"
"Larrabee St & Kingsbury St 2","784","member"
"Halsted St & Belden St","784","casual"
"Halsted St & Lake St","782","member"
"Peoria St & Kinzie St","776","casual"
"Woodlawn Ave & Lake Park Ave","775","member"
"LaSalle St & Calhoun Pl Corral","774","member"
"State St & 35th St","774","casual"
"Western Ave & Monroe St","770","member"
"Warren Park West","768","member"
"Claremont Ave & Hirsch St","766","casual"
"Milwaukee Ave & Armitage Ave","765","member"
"St. Louis Ave & Balmoral Ave","753","member"
"N Carpenter St & W Lake St","752","casual"
"Rockwell St & Eastwood Ave","752","casual"
"Lincoln Ave & Dickens Ave","748","casual"
"Spaulding Ave & Division St","747","casual"
"California Ave & Byron St","747","casual"
"Western Ave & 21st St","747","member"
"Wood St & Webster Ave","743","casual"
"Sheridan Rd & Greenleaf Ave","739","casual"
"LaSalle St & Adams St Corral","735","member"
"Hudson Ave & Armitage Ave","733","casual"
"Wells St & Madison St","728","casual"
"Halsted St & North Branch St","722","casual"
"Sheffield/Newport Corral","720","casual"
"Shields Ave & 31st St","713","casual"
"Wentworth Ave & 24th St","712","member"
"N Damen Ave & W Chicago Ave","712","member"
"Keystone Ave & Montrose Ave","710","member"
"South Shore Dr & 71st St","709","member"
"MLK Jr Dr & Pershing Rd","706","member"
"Christiana Ave & Lawrence Ave","706","casual"
"Rockwell St & Fletcher St","706","casual"
"Lake Park Ave & 47th St","702","casual"
"Hampden Ct & Diversey Ave","696","casual"
"Evanston Civic Center","695","member"
"Prairie Ave & Garfield Blvd","694","member"
"Wentworth Ave & 33rd St","689","casual"
"Kedzie Ave & Leland Ave","687","casual"
"Normal Ave & Archer Ave","683","member"
"Albany Ave & Montrose Ave","681","casual"
"Western Ave & Howard St","681","member"
"Ashland Ave & 13th St","678","casual"
"Ridge Blvd & Touhy Ave","676","member"
"McCormick Blvd & Devon Ave","676","member"
"Eddy/Seminary Corral","674","casual"
"Francisco Ave & Chicago Ave","670","casual"
"Bernard St & Elston Ave","669","member"
"Broadway & Roscoe Ave","668","member"
"Rush St & Illinois St","662","member"
"Francisco Ave & Montrose Ave","658","member"
"Indiana Ave & 31st St","657","casual"
"Glenwood Ave & Touhy Ave","647","casual"
"Central St Metra","646","casual"
"Washtenaw Ave & Lawrence Ave","644","casual"
"Kedzie Ave & Bryn Mawr Ave","643","member"
"Sheffield/Newport Corral","643","member"
"Leavitt St & Augusta Blvd","633","member"
"Noble St & Ohio St","630","casual"
"Kedzie Ave & Foster Ave","627","member"
"Loomis St & Archer Ave","627","member"
"Western Ave & Congress Pkwy","623","casual"
"Clark St & Columbia Ave","621","casual"
"Central Park Ave & North Ave","620","member"
"Elmwood Ave & Austin St","618","member"
"Archer Ave & Wentworth Ave","617","casual"
"Karlov Ave & Armitage Ave","614","member"
"Kedzie Ave & Armitage Ave","612","member"
"Harper Ave & 59th St","612","casual"
"May St & Cullerton St","606","casual"
"Morgan St & Hubbard St","603","casual"
"Eastlake Ter & Howard St","603","casual"
"Ashland Ave & Archer Ave","602","member"
"Clark St & Fletcher St","601","member"
"Troy St & Elston Ave","601","casual"
"Bosworth Ave & Howard St","597","member"
"Monticello Ave & Irving Park Rd","596","casual"
"Drake Ave & Addison St","595","casual"
"Damen Ave & St Paul Ave","594","member"
"Cottage Grove Ave & 63rd St","590","member"
"Lincoln Ave & Winona St","588","casual"
"Warren Park East","584","member"
"Winchester (Ravenswood) Ave & Balmoral Ave","584","casual"
"Milwaukee Ave & Ainslie St","584","casual"
"Wells St & 19th St","583","member"
"2112 W Peterson Ave","582","member"
"Oakley Ave & Irving Park Rd","580","casual"
"Broadway & Sunnyside Ave","578","casual"
"Smith Park","577","casual"
"Woodlawn Ave & Lake Park Ave","571","casual"
"Lincoln Ave & Montana St","569","casual"
"Fort Dearborn Dr & 31st St","568","member"
"Wacker Dr & Washington St Corral","565","casual"
"Central St Metra","565","member"
"Archer Ave & Wentworth Ave","563","member"
"Rhodes Ave & 32nd St","563","casual"
"Clark St & Touhy Ave","562","member"
"Knox Ave & Montrose Ave","562","member"
"Clinton St & Polk St","559","member"
"Francisco Ave & Bloomingdale Ave","554","member"
"Maplewood Ave & Peterson Ave","551","member"
"Francisco Ave & Foster Ave","549","casual"
"Western Ave & Grace St","548","casual"
"Kedzie Ave & 48th Pl","545","casual"
"Cottage Grove Ave & Oakwood Blvd","545","casual"
"Halsted St & Armitage Ave","544","casual"
"Ridge Blvd & Howard St","544","member"
"Seminary Ave & Belden Ave","543","member"
"Leavitt St & Archer Ave","539","member"
"Wabansia & Milwaukee","538","casual"
"Paulina St & Cortland St","538","member"
"Kingsbury St & Kinzie St 1","538","member"
"Central Park Ave & North Ave","537","casual"
"LaSalle St & Washington St Corral N","535","member"
"St Clair St & Ohio St","535","casual"
"Drake Ave & Montrose Ave","532","casual"
"California Ave & 21st St","532","member"
"Green St & Chicago Ave","530","casual"
"Prairie Ave & Garfield Blvd","530","casual"
"Troy St & Grace St","529","member"
"South Shore Dr & 67th St","525","member"
"Lincoln Ave & Balmoral Ave","525","member"
"Clinton St & Polk St","525","casual"
"California Ave & Lake St","517","member"
"Leavitt St & Archer Ave","517","casual"
"Malcolm X College","516","casual"
"Waveland/Racine Corral","515","casual"
"Kedzie Ave & George St","514","casual"
"Leavitt St/North Ave","514","casual"
"Rush St & Illinois St","513","casual"
"Addison/Racine Corral","508","casual"
"South Shore Dr & 71st St","508","casual"
"Dorchester Ave & 63rd St","497","member"
"Kenneth Ave & Lawrence Ave","496","member"
"Whipple/Irving Park","489","member"
"Elston Ave & George St","489","casual"
"Calumet Ave & 35th St","484","casual"
"Kilbourn Ave & Belden Ave","484","member"
"Lincoln Ave & Peterson Ave","481","member"
"Clark/Newport Corral","481","casual"
"Eddy/Seminary Corral","475","member"
"Francisco Ave & Bloomingdale Ave","474","casual"
"Burling St & Armitage Ave","472","member"
"MLK Jr Dr & Pershing Rd","470","casual"
"Central St & Girard Ave","469","casual"
"Wallace St & 35th St","465","casual"
"Cottage Grove Ave & 51st St","465","member"
"Cherry Ave & Blackhawk St","464","casual"
"Elston Ave & Henderson St","461","member"
"Elmwood Ave & Austin St","460","casual"
"Clark St & Jarvis Ave","459","casual"
"N Shore Channel Trail & Argyle St","455","member"
"Dearborn St & Madison St","455","member"
"Valli Produce - Evanston Plaza","454","member"
"Michigan Ave & 11th St","454","member"
"Central St & Girard Ave","453","member"
"Wood St & 35th St","453","member"
"Halsted St & Lake St","451","casual"
"Ping Tom Park (East)","448","member"
"LaSalle St & Calhoun Pl ","446","casual"
"Western Ave & Wabansia Ave","443","member"
"Kedzie Ave & Chicago Ave","442","member"
"Sheffield Ave & Fletcher St","442","member"
"South Shore Dr & 67th St","438","casual"
"Waveland/Racine Corral","437","member"
"Western Ave & 24th St","437","member"
"Malden St & Wilson Ave","434","member"
"Milwaukee Ave & Wabansia Ave","431","casual"
"Kostner Ave & Wrightwood Ave","431","member"
"Western Ave & Monroe St","429","casual"
"Greenwood Ave & 47th St","426","casual"
"Broadway & Cuyler Ave","425","member"
"LaSalle St & Washington St Corral","423","member"
"Dodge Ave & Church St","421","member"
"N Paulina St & Lincoln Ave","421","casual"
"Budlong Woods Library","420","member"
"Clark/Eddy","420","casual"
"Emerald Ave & 28th St","420","casual"
"Franklin St & Adams St Corral","419","casual"
"Shields Ave & 28th Pl","418","casual"
"Oakley Ave & Touhy Ave","416","member"
"Knox Ave & Montrose Ave","415","casual"
"Ashland Ave & Archer Ave","414","casual"
"DuSable Museum","411","member"
"Albany Ave & Belmont Ave","411","member"
"Kilbourn Ave & Irving Park Rd","411","member"
"Francisco Ave & Montrose Ave","410","casual"
"Cottage Grove Ave & 47th St","408","member"
"Racine Ave & 35th St","405","member"
"Kedzie Ave & 21st St","405","member"
"Sacramento Blvd & Addison St","402","member"
"Wells St & Randolph St Corral","401","casual"
"Racine Ave & 35th St","400","casual"
"Leavitt St & Hirsch St","399","member"
"Manor Ave & Leland Ave","397","casual"
"Dodge Ave & Main St","396","member"
"Addison/Racine Corral","393","member"
"Western Ave & 21st St","391","casual"
"Burling St & Armitage Ave","389","casual"
"Archer & Wentworth","388","casual"
"63rd St Beach","387","member"
"Clark/Newport Corral","387","member"
"Kedzie Ave & Foster Ave","383","casual"
"Pine Grove Ave & Wellington Ave","379","member"
"Wacker Dr & Randolph St","377","casual"
"Milwaukee Ave & Armitage Ave","375","casual"
"W Washington Blvd & N Peoria St","373","casual"
"Racine Ave & Webster Ave","372","member"
"Pulaski Rd & 51st St","372","casual"
"Western Ave & Gunnison St","369","member"
"Wolcott Ave & Fargo Ave","366","member"
"Western Ave & Fillmore St","364","casual"
"Western Ave & Howard St","363","casual"
"Midway Orange Line","363","casual"
"Paulina St & Division St","361","casual"
"Elston Ave & Henderson St","356","casual"
"Clark/Racine Corral","354","casual"
"Public Rack - Woodlawn Ave & 63rd St N","353","member"
"Franklin St & Madison St","353","member"
"Bernard St & Elston Ave","352","casual"
"Sawyer Ave & Irving Park Rd","351","casual"
"Harper Ave & 55th St","351","member"
"Clark/Eddy","351","member"
"Damen Ave/Coulter St","350","member"
"Cottage Grove Ave & Oakwood Blvd","349","member"
"Public Rack - Hyde Park Blvd & 55th St","348","member"
"California Ave & 23rd Pl","347","member"
"Racine/Eddy Corral","346","casual"
"Hastings LWS","346","member"
"Warren Park East","346","casual"
"Calumet Ave & 51st St","346","member"
"McCormick Blvd & Devon Ave","344","casual"
"Stony Island Ave & 63rd St","342","casual"
"Racine Ave & Broadway","339","casual"
"Racine Ave & 13th St","338","casual"
"Central Park Ave & Ogden Ave","338","casual"
"Sangamon St & Adams St","337","casual"
"Keystone Ave & Fullerton Ave","337","casual"
"Dearborn St & Adams St Corral","336","casual"
"Western Ave & Granville Ave","333","casual"
"Sacramento Blvd & Addison St","333","casual"
"Kedzie Ave & Lake St","331","member"
"Kildare Ave & Montrose Ave","330","member"
"Cottage Grove Ave & 43rd St","330","member"
"Western Ave & 24th St","328","casual"
"St Louis Ave & Foster Ave","328","member"
"Dodge Ave & Church St","327","casual"
"Stony Island Ave & 63rd St","327","member"
"Archer & Wentworth","327","member"
"Prairie Ave & 43rd St","327","casual"
"State St & 95th St","325","casual"
"Leavitt St & Hirsch St","325","casual"
"Halsted St & 37th St","323","member"
"Central Park Ave & Ardmore Ave","322","member"
"Lockwood Ave & Wrightwood Ave","322","member"
"Public Rack - Washtenaw Ave & Superior St","322","member"
"California Ave & Lake St","319","casual"
"Karlov Ave & Lawrence Ave","318","member"
"Larrabee St & Clybourn Ave","317","casual"
"Southport Ave & Grace St","316","member"
"Dorchester Ave & 63rd St","315","casual"
"Sedgwick St & Chicago Ave","314","member"
"Dorchester Ave & 49th St","313","casual"
"Pulaski Rd & Eddy St","312","member"
"Wood St & Cortland St","309","member"
"Western Ave & Lake St","308","member"
"Grace/Sheffield Corral","308","member"
"Racine/Eddy Corral","305","member"
"Campbell Ave & Irving Park Rd","305","casual"
"Springfield Ave & North Ave","304","member"
"Public Rack - Kedzie Ave & Argyle St","304","member"
"Kingsbury St & Kinzie St 2","303","member"
"Jeffery Blvd & 71st St","302","member"
"North Boundary Park","302","member"
"Kildare Ave & Montrose Ave","300","casual"
"Seminary Ave & Belden Ave","300","casual"
"Ridge Blvd & Touhy Ave","299","casual"
"Addison Red Line","298","casual"
"Valli Produce - Evanston Plaza","298","casual"
"Loomis St & Archer Ave","298","casual"
"LaSalle St & Jackson Blvd Corral","297","casual"
"MLK Jr Dr & 47th St","297","casual"
"Milwaukee Ave & Agatite Ave","296","member"
"Kedzie Ave & 57th St","295","casual"
"Sheridan Rd & Berwyn Ave","294","member"
"Conservatory Dr & Lake St","294","casual"
"Hoyne Ave & 47th St","294","member"
"Jeffery Blvd & 67th St","293","casual"
"Kedzie Ave & 48th Pl","292","member"
"Wabash Ave & Jackson Blvd","292","member"
"Milwaukee Ave & Cuyler Ave","292","member"
"Pulaski Rd & Eddy St","291","casual"
"MLK Jr Dr & 47th St","291","member"
"Campbell Ave & Irving Park Rd","291","member"
"Clark/Newport","291","casual"
"Carpenter St & Fulton St","289","casual"
"Michigan Ave & 11th St","289","casual"
"Cottage Grove Ave & 51st St","287","casual"
"Lock St & 31st St","286","member"
"Sacramento Ave & Lyndale St","286","member"
"California Ave & Winona St","286","member"
"Cottage Grove Ave & 67th St","285","member"
"Addison/Sheffield SW Corral","285","casual"
"State St & 29th St","284","member"
"Public Rack - Milwaukee Ave & Diversey Ave","284","member"
"Calumet Ave & 51st St","284","casual"
"Washtenaw Ave & Ogden Ave","283","member"
"Lavergne Ave & Lawrence Ave","283","member"
"Racine Ave & Webster Ave","283","casual"
"Addison/Wilton Corral","281","casual"
"Narragansett Ave & Wrightwood Ave","281","casual"
"Dodge Ave & Main St","281","casual"
"Dodge Ave & Mulford St","280","member"
"Kedzie Ave & Armitage Ave","280","casual"
"Lincolnwood Dr & Central St","279","casual"
"Cottage Grove Ave & 63rd St","279","casual"
"Warren Park West","279","casual"
"Dorchester Ave & 53rd St","278","member"
"Clark St & Touhy Ave","278","casual"
"Rockwell Ave & Logan Blvd","278","member"
"Western Ave & Lunt Ave","278","casual"
"Franklin St & Adams St (Temp)","276","casual"
"Halsted St & Melrose St","276","member"
"Pulaski Rd & 51st St","276","member"
"Rockwell St & Archer Ave","276","casual"
"Laramie Ave & Irving Park Rd","274","casual"
"Troy St & Grace St","274","casual"
"University Ave & 65th St","273","member"
"Rockwell St & Cermak Rd","271","member"
"Sacramento Blvd & Fulton Ave","271","member"
"Halsted St & 37th St","271","casual"
"Portage Park","270","casual"
"Ogden Ave & Roosevelt Rd","269","casual"
"Cottage Grove Ave & 43rd St","268","casual"
"Western Ave & Lyndale St","268","member"
"May St & Hubbard St","267","member"
"Edgebrook Metra","267","member"
"Albany Ave & Belmont Ave","266","casual"
"Stony Island Ave & 71st St","265","member"
"Jeffery Blvd & 67th St","264","member"
"Public Rack - Hamlin Ave & Montrose Ave","263","member"
"Milwaukee Ave & Cuyler Ave","261","casual"
"Central Park Ave & Ogden Ave","259","member"
"Damen Ave & Ohio St","258","member"
"Kilbourn Ave & Diversey Ave","257","member"
"Western Blvd & 48th Pl","257","casual"
"Broadway & Roscoe Ave","255","casual"
"Ping Tom Park (East)","255","casual"
"Rockwell St & Archer Ave","254","member"
"Sheffield/Cornelia Corral","253","member"
"Keystone Ave & Montrose Ave","253","casual"
"Fairfield Ave & 44th St","253","casual"
"Whipple/Irving Park","253","casual"
"California Ave & 21st St","249","casual"
"Leavitt St & Augusta Blvd","247","casual"
"Western Ave & Wabansia Ave","247","casual"
"Kenosha Ave & Wellington Ave","247","member"
"Kedzie Ave & Lake St","247","casual"
"Western Ave & Berteau Ave","246","casual"
"Monticello Ave & Lawrence Ave","246","casual"
"Lockwood Ave & Grand Ave","245","member"
"Hoyne Ave & 47th St","245","casual"
"Clark/Racine Corral","245","member"
"Kedzie Ave & 21st St","244","casual"
"South Shore Dr & 74th St","243","casual"
"Virginia Ave & Catalpa Ave","241","member"
"Public Rack - Christiana Ave & Belmont Ave","241","member"
"Kilbourn Ave & Roscoe St","239","member"
"Damen Ave/Coulter St","239","casual"
"Prairie Ave & 43rd St","239","member"
"Kilbourn Ave & Milwaukee Ave","238","casual"
"Sheffield/Cornelia Corral","238","casual"
"Cicero Ave & Wrightwood Ave","238","member"
"Kedzie Ave & Bryn Mawr Ave","238","casual"
"Ashland Ave & Pershing Rd","236","member"
"Archer (Damen) Ave & 37th St","232","member"
"LaSalle St & Adams St Corral","228","casual"
"Larrabee St & Kingsbury St 1","228","casual"
"Kilpatrick Ave & Grand Ave","227","member"
"Midway Orange Line","225","member"
"Public Rack - Washtenaw Ave & Superior St","225","casual"
"Ridge Blvd & Howard St","225","casual"
"Western Ave & Ardmore Ave","225","member"
"University Ave & 65th St","225","casual"
"Normal Ave & Archer Ave","221","casual"
"Springfield Ave & North Ave","221","casual"
"Lowell Ave & Armitage Ave","220","member"
"N Damen Ave & W Chicago Ave","220","casual"
"Kedzie Ave & 57th St","218","member"
"Addison Red Line","217","member"
"Paulina St & Cortland St","217","casual"
"Wallace St & 28th St","216","member"
"Lincolnwood Dr & Central St","216","member"
"Central Park & Augusta Blvd","215","member"
"Damen Ave & St Paul Ave","215","casual"
"Austin Blvd & Lake St","214","casual"
